episod,total_reward
144,-229.50631644589606
145,37.78531947771096
146,-117.44926945689504
147,62.87569894601105
148,-2403.1445885860758
149,-629.1039854315593
150,73.14420484830525
151,-215.75154344487106
152,25.606072055037515
153,-238.02774349750672
154,-28.980348907586425
155,-100.04507832650381
156,-230.02437081616213
157,36.975173270491666
158,-204.23119802418344
159,-236.0884667717072
160,-146.43437619698156
161,49.142902368103144
162,26.871764307902154
163,-223.9365421463843
164,-45.0705279182079
165,-69.09478273636842
166,-689.1847819738998
167,-89.27098901430044
168,45.549541555574805
169,-431.0264104684427
170,-1759.5521152459576
171,-1589.8577059170386
172,-441.7221398696129
173,-214.7940617172659
174,-3048.2595944652953
175,-2189.0968331027234
176,-3045.3772867575763
177,-2387.1923957805197
178,-2861.8323603409613
179,-387.9770537086692
180,-155.02435073603016
181,-11.90466006508585
182,-105.08904001258402
183,-2617.08839337958
184,-2082.543179035161
185,-2198.7143431110344
186,-3024.325423364556
187,-785.2724741746488
188,-2479.2688439286176
189,-2201.3436692782643
190,-223.61776476548667
191,-153.26341201572905
192,-137.761172026675
193,-176.9092945984739
194,-130.19143738448733
195,37.74992210120039
196,169.29685280879096
197,-1834.3170105253555
198,-18.423663827287392
199,-723.1163936850351
200,-2992.595637410129
201,-2708.7314585273098
202,-1126.5122126722345
203,-39.10254553783546
204,-286.3025924092471
205,82.13840413851709
206,-104.26798063511563
207,-3027.352366784579
208,116.76400536270634
209,-354.6575507808857
210,-183.71346007680296
211,-46.176128251205284
212,-207.3921914815931
213,-44.76563133045765
214,-170.919532936532
215,-2333.8348455196096
216,-273.7135974525955
217,-149.26468322907726
218,-178.4837725676665
219,-102.9379624933282
220,-111.65522566523207
221,45.397334038068166
222,-61.8795050407095
223,12.243787377972296
224,59.78343992623667
225,34.55021744389225
226,-229.9458864943324
227,-224.08020083570244
228,-241.83563643884216
229,-12.314746772719744
230,-211.19737333071606
231,13.012471003544448
232,-53.00604068460246
233,-240.7902351052565
234,-21.737223175258073
235,-123.12141078244926
236,-239.073790189393
237,-109.77482466880457
238,-246.62982245117968
239,-223.89362541560118
240,-455.23178923171264
241,48.206633089085095
242,-237.2158728731115
243,-1801.901586902306
244,-1632.5998002664244
245,19.763910590288546
246,-2269.7669563985864
247,-104.82613267340514
248,-19.033074780914575
249,-12.35008026817776
250,-2080.424499446526
251,-110.88326052874457
252,-239.6880825427639
253,-135.32229278307568
254,-241.79026795380022
255,-188.03181134826514
256,-97.66206262960614
257,22.21635266198512
258,-2979.2055203105756
259,-3048.202200646395
260,-3047.9451138838704
261,-3048.5155911749735
262,-3048.2138121190906
263,-3048.6326576963384
264,-3048.4122393021153
265,-3048.140082750652
266,-3048.3896830103513
267,-3048.139997141636
268,25.337808630876587
269,-267.5242351176779
270,-2700.8363479010263
271,-2921.51809303509
272,-3048.06485808208
273,-275.39838310173934
274,-358.31287302152066
275,-83.47839687047397
276,116.46789082575901
277,-188.43572199037484
278,-12.822390001072698
279,-144.96344088047428
280,92.82052647990703
281,-550.9773771753233
282,-28.357256760950413
283,70.54614023750113
284,-476.04528000171945
285,-126.53070745558068
286,-3017.5849908477694
287,-1536.3298889563414
288,-189.18539191616009
289,-897.1135373543062
290,140.329745756674
291,-263.80578270523887
292,-1945.9415751293175
293,-2791.579104172561
294,-129.9282820595638
295,-230.68930624383557
296,94.84123550228342
297,-239.0167362621532
298,-653.9837097445335
299,-625.0742596858503
300,53.06767395203988
301,-64.00063186576043
302,-233.42750999695375
303,-2212.9483410216
304,-2808.6153549772835
305,-286.36775493804066
306,-1152.8425895095652
307,-1017.2482329293138
308,-136.27309687300323
309,-341.43579240318337
310,-153.76385551169005
311,-198.6678554875575
312,-169.2294548585476
313,-251.33538152571245
314,-83.15018152129832
315,-432.24688137857623
316,-214.54709069192285
317,-937.138272804131
318,-176.41465190630697
319,-134.65517957719135
320,-257.9297223846623
321,-176.5525576477091
322,-2289.7764444421327
323,-2953.6930067572193
324,-160.86170552179718
325,-206.50458317504695
326,4.945437067799034
327,81.09162420531138
328,-61.28833457704082
329,-149.4274970709079
330,-414.2314738824506
331,-193.3053427204425
332,-148.35928127413936
333,-180.89859330229427
334,-237.72291753375077
335,-307.5520388971628
336,-183.21696629071528
337,-247.73104580246968
338,-149.58159961821755
339,-34.707889204376826
340,-400.77641342000516
341,-210.98217133150172
342,-185.57497990365448
343,100.38468549534068
344,-191.83002623670166
345,-54.42128563645681
346,-32.788292150813724
347,-309.656103548203
348,10.811417663906475
349,-127.07657940267686
350,-188.5556287970793
351,-157.85440033571453
352,60.478630347932416
353,-194.61879488078068
354,-376.6580933397742
355,-279.64680689571753
356,-175.80931362146032
357,-336.14510186410524
358,-205.03539148022537
359,-1985.7017754601532
360,-18.567732308308237
361,14.248760199348489
362,-256.3196038123731
363,-372.4416834823358
364,-257.18288442026665
365,-77.71286641770693
366,-57.59093026389253
367,59.17780332894862
368,18.492844750029796
369,-110.34250631927775
370,-185.89784241988383
371,-93.12940187191874
372,-178.7167407798425
373,-247.17561184731434
374,11.440812422971767
375,-220.85894194917148
376,-180.68693393155849
377,-169.00918508921256
378,-185.01338946533133
379,-113.63659032494792
380,-197.83617987822055
381,26.989212254991678
382,-222.47885239374997
383,-17.02853508593391
384,-7.70955179330069
385,-165.360071667113
386,-132.74992969762417
387,-383.88451846782635
388,-141.22204405911683
389,-19.141640106913485
390,-217.7612861330005
391,-51.495598254938486
392,-504.0465446248256
393,-1633.7733480486268
394,155.3206127169458
395,-150.23658990593887
396,-205.85407936938577
397,-9.25961145953665
398,72.5358414824846
399,-45.078940189215196
400,-20.890043646984644
401,-200.9850403462295
402,-235.1058824268021
403,-42.43493538369606
404,-6.663046595596537
405,163.82303761474932
406,-94.78182867290651
407,-132.06817862197977
408,5.805183342771066
409,-226.8857168097893
410,-342.3187065352914
411,-48.78160421413703
412,-284.7447813867441
413,-289.88484196381035
414,-249.42394722232336
415,-1976.9748194623335
416,-242.43670859125473
417,-309.60468342118975
418,4.596111770526377
419,-85.10094704147691
420,-228.40478037053782
421,-291.8043247406122
422,-339.7643003075639
423,-235.8081768385383
424,-131.553517192582
425,79.5897081696537
426,-102.92668410131084
427,-316.60645294378156
428,-177.67260071989665
429,-257.01941604654445
430,51.40573553709792
431,-256.47837935877544
432,84.06267368899435
433,48.28259971989843
434,-91.82859592231156
435,-19.641528386985698
436,-189.33504174102598
437,-245.0425921419976
438,-172.99491135282304
439,-331.97543693871177
440,-347.67969251486244
441,-190.7441307437668
442,92.90429812943151
443,131.1314916206501
444,-174.59696883997736
445,-278.68108568518477
446,-161.06713572348409
447,-278.75739407659444
448,-12.543157250861643
449,-219.40005968979384
450,-233.54773328871707
451,-237.75633832914355
452,-133.78559990031846
453,-216.74691414343272
454,-201.99965790337177
455,-187.932372253141
456,-224.6216344567667
457,-212.8026292255601
458,-251.18852379554693
459,-284.25214961358546
460,-170.79584056485174
461,-996.5050870477498
462,-175.53822609562533
463,-284.20785650121627
464,-121.04464845405482
465,-260.70285543538273
466,-641.7771548530989
467,-198.06214501293394
468,-248.78094010771886
469,-210.8736978553903
470,-240.64297926146835
471,-282.23381048817924
472,-289.45961056590653
473,-2280.0306709111223
474,-190.0941617409473
475,-2525.3729687616897
476,-178.8067130070102
477,-1669.8906694713296
478,-1510.4360631087327
479,-239.18551368535148
480,-241.20386178956602
481,200.6949106257452
482,-210.56289141207324
483,-3.673956796002038
484,-181.65332181170544
485,-115.7735527046139
486,-2229.822928725469
487,-508.97255690246374
488,-214.4366596135107
489,-2748.182595623489
490,-332.16891693280394
491,-60.62335502277235
492,-196.06191537923092
493,-196.24013362669916
494,-337.1646730045768
495,-373.7064686299024
496,-227.99435465136114
497,-188.58816850368686
498,-199.18063774153592
499,-215.977507694849
500,-143.34451633288614
501,-171.89267293966105
502,-219.29608050660937
503,-334.0668080326784
504,-212.88827679104995
505,-164.67033228108536
506,-29.93660116368738
507,-268.51381895591686
508,3.534040855596295
509,26.26264621601746
510,-323.8177349927095
511,-193.70549110304398
512,-107.53706033256333
513,-187.16780741363328
514,-284.2114166538108
515,-152.99166653611127
516,-179.7935766781236
517,-205.6238058172731
518,-125.5299731878961
519,-191.68489917129162
520,-200.49130651201426
521,-237.22080104741872
522,-180.97500457046687
523,-157.34912047178932
524,-280.4741091608069
525,-201.83081585720575
526,-65.62346562516072
527,-113.22482525235814
528,-231.59595057650787
529,-231.5661973707795
530,-166.40070906792195
531,-196.82177111683762
532,-227.0614052200497
533,-282.05493884609604
534,-197.32258002097538
535,-248.06009070080043
536,-221.67003663183888
537,-182.37966606155223
538,-223.7424162668945
539,-217.15385540838898
540,-199.32781654833062
541,-184.49829934000383
542,-236.73831523516185
543,-224.0636383349597
544,-262.76234110423434
545,-2957.283289918797
546,25.843493947115206
547,-297.32518004322276
548,-144.96725985187334
549,-277.4146677847295
550,-196.78791576202497
551,-260.3973976936825
552,-180.26176776423236
553,-285.1258517926573
554,-174.1964777862243
555,-198.06384421684513
556,-220.19268657335198
557,-264.18456465637814
558,-189.73335445975405
559,-127.92438247820384
560,-231.1991003926156
561,-265.84491141907404
562,-194.33501276650858
563,-208.12621965265936
564,-967.3391828662848
565,-234.09945168740506
566,-243.39389239130455
567,-257.8636815071884
568,-213.57228586753305
569,-232.82124856306848
570,-201.99367436561576
571,-292.2268122668246
572,-269.95755060377553
573,-231.5887710807769
574,-234.8552870805152
575,-213.10339991591582
576,-276.85109888451433
577,-215.23468519325885
578,-244.16152257020227
579,-241.93050731864076
580,-241.4073984833959
581,-210.52991513239846
582,-224.45201584966043
583,-138.98334631729313
584,-228.3960802050384
585,-176.53225737378028
586,-182.5421482407486
587,-243.8301419977011
588,-157.29411935549481
589,-139.943376891798
590,-208.76339604891496
591,-315.399726820658
592,-190.4254831693018
593,-235.01733141940727
594,-245.2881368035592
595,-270.00627664879516
596,-277.1805345817204
597,-176.22571168140135
598,-217.9950319675421
599,-242.94658752810125
600,-232.03550023101394
601,-152.5735109861586
602,-183.6949441515457
603,-243.18517007859575
604,-251.8889618617533
605,-274.24822517302675
606,-281.14240493441156
607,-270.43373961453983
608,-226.67282184092696
609,-239.03754093856597
610,-269.77042322070366
611,-244.37844580939304
612,-228.59300001893595
613,-247.10129416741788
614,-226.55730621406786
615,-252.96528490152582
616,-262.03146897964996
617,-275.7046204390191
618,-238.52895965687867
619,-228.16368878984517
620,-279.1911702933164
621,-268.2502133780056
622,-275.0777218131263
623,-242.31738700117845
624,-270.42264462575093
625,-186.22657298997387
626,-196.08911531899182
627,-249.49706715816467
628,-261.9139607959306
629,-295.391147738571
630,-253.97934035698063
631,-280.3213742897225
632,-260.7142224598574
633,-268.5422173097302
634,-254.63614000351782
635,-247.8912635637942
636,-272.08672365027826
637,-229.34924524711641
638,-239.8456792429486
639,-264.2685670036452
640,-256.41655834460715
641,-270.9239100782558
642,-254.42776322705564
643,-253.86558493662145
644,-250.2660552641196
645,-237.68445004156408
646,-240.99895324248857
647,-284.42386245072606
648,-251.9329686807315
649,-261.342161193258
650,-248.751732979062
651,-234.47529392079645
652,-265.8436015615453
653,-239.34713251653656
