time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-9.06531436561e-06,8.01907097127e-07,10.0079895473,9.29072895657e-05,0.00166291085257,0.0,-0.000532232949975,4.45069728078e-05,0.266293518877,-0.00474799000473,-0.0153770235512,0.0,487.787528464181,486.6381418041247,486.59445067640115,486.2389810120778
0.12000000000000001,-8.11418092988e-05,3.77044238163e-05,10.0270167787,0.00799695889935,0.00287497555767,0.0,-0.00201186511202,0.00202709192476,0.367916940091,-0.037318584871,-0.0326271017992,0.0,438.6488786487581,437.2142453980289,438.43672001791435,435.72270754415723
0.18,-0.000284975496644,0.000345700157627,10.0559127331,0.00584934753133,0.00529791310661,0.0,-0.00510448367807,0.00798489335768,0.59519113275,-0.042043117938,-0.0567861498005,0.0,476.4875260548354,474.6365160041879,476.12802053485046,475.76584285558346
0.23999999999999996,-0.0007108786126,0.000955019667216,10.0969237587,0.00510889113038,0.00512313791128,0.0,-0.00905104988447,0.0122260091261,0.771740853235,-0.0285703370775,-0.0382550410113,0.0,460.1914944058895,461.6542423174564,460.43839707876424,461.5022584457071
0.3,-0.00136722175066,0.00180040097855,10.1489047878,0.00338332880134,0.00350644125638,0.0,-0.0126520560375,0.0157549735163,0.960821805595,-0.0294889386211,-0.0485587351827,0.0,465.0890056709091,464.2805490030909,465.2293104805687,465.1571904986843
0.36000000000000004,-0.00219586763871,0.00281872634968,10.2122994109,0.00185655039574,0.000583169767425,0.0,-0.0146332710804,0.0180200562676,1.15216036953,-0.0362160503542,-0.0502795584271,0.0,465.8399439102235,465.7040020560624,466.33547366038783,465.80945388032814
0.4200000000000001,-0.0030762475904,0.00392946536752,10.2838006798,6.28303695469,6.28137990417,0.0,-0.0144690691531,0.0188027660729,1.23113349061,-0.0327678260517,-0.0427148551393,0.0,431.5022987608232,432.13889722777935,431.0745505802759,431.36523237024534
0.48000000000000015,-0.00388865237058,0.00504637672285,10.364752121,6.28147817387,6.27902186936,0.0,-0.0123190443061,0.0182302055865,1.46697479996,-0.0268746616415,-0.038813768781,0.0,478.70883784158804,479.0047836851864,480.0220600389693,480.46876424818595
0.5400000000000001,-0.00453554444572,0.00610198905145,10.4555373889,6.28044708078,6.27722003679,0.0,-0.00905600915004,0.0168628701747,1.55907848045,-0.0365132112938,-0.0319715888341,0.0,436.2819324075961,436.85214785614164,436.8864719941842,436.08184284985515
0.6000000000000002,-0.00490600253115,0.00702351431506,10.5601333143,6.27826736541,6.27712662402,0.0,-0.00326331696726,0.0135470049778,1.92690683469,-0.0360491464742,-0.0183249452784,0.0,516.1303239509169,517.0923908160095,517.7517560067082,517.7840070447357
0.6600000000000003,-0.00498346686697,0.00773615268417,10.6779269583,6.27734297641,6.27784776345,0.0,0.000623183235562,0.0101309400974,1.99942372061,-0.0494995747171,-0.00469539254551,0.0,431.0511066599491,432.2013897674998,432.4451226193151,431.309786995298
0.7200000000000003,-0.00482946681174,0.00821327470417,10.8030747178,6.27831569229,6.27888111049,0.0,0.00437654252469,0.00586147221322,2.17185801655,-0.0289153272581,-0.0185147504634,0.0,464.028129082182,462.9421972076667,461.9011144929321,463.52055761799113
0.7800000000000004,-0.00446192488169,0.00844682467071,10.939360005,6.27743556628,6.2780309832,0.0,0.00796415929269,0.00183619929806,2.37059374906,-0.0403142873488,-0.0254359314507,0.0,471.984767002755,471.45036433456994,471.88722799180493,471.00616906766857
0.8400000000000004,-0.00388092841647,0.00850411257593,11.0829799033,0.00953931553366,6.27666811172,0.0,0.0115331709744,0.00155624337046,2.4166397958,-0.0876274141031,-0.0220497083987,0.0,425.4320131220428,425.72173676722605,426.4239747935854,422.36056495902307
0.9000000000000005,-0.0030976657027,0.00879181304068,11.2329996325,0.00427028333796,0.00627263326416,0.0,0.0130950674165,0.00744290639711,2.58366343328,-0.0891015387053,-0.06441999724,0.0,464.14772295418913,460.80989589577047,463.86923296735335,463.7473649285376
0.9600000000000005,-0.00246919021246,0.00931684966725,11.3942481653,6.28214785117,0.00751682827868,0.0,0.00767967931225,0.00942989927472,2.79080632215,-0.0878437024779,-0.090410928797,0.0,477.21975099192963,475.22792623522776,475.32116802415607,475.41156528556763
1.0200000000000005,-0.00214858661239,0.00984172409993,11.5653258475,6.27724115392,0.00236101877181,0.0,0.003543387853,0.00755938891834,2.91148535253,-0.0957608448001,-0.0974169385052,0.0,451.171168691951,450.59802923878647,451.00573465741076,450.35908869010893
1.0800000000000005,-0.00195762591397,0.0101914431347,11.7391162833,6.27551181399,6.27981315148,0.0,0.00329872465603,0.00397378462745,2.88160446812,-0.118947842404,-0.0947623659026,0.0,401.8465394473359,402.07807144090503,403.5539472681279,401.4448521399747
1.1400000000000006,-0.00167137744646,0.0102531072691,11.9143856878,6.26912921175,6.27425531182,0.0,0.00679427262394,-0.00253688179127,2.96049955277,-0.129737910394,-0.0918654376831,0.0,438.5832835578228,438.81624949459405,438.08473529424595,437.1727385320014
1.2000000000000006,-0.00106294987573,0.00974859599904,12.0978322091,6.26428356035,6.27676893017,0.0,0.0132253584824,-0.014853704911,3.15386485341,-0.112121795649,-0.0620094418871,0.0,473.08940104936516,475.3776465002171,472.33583937342354,473.67954196502996
1.2600000000000007,-0.000116766894736,0.00842412919951,12.290919115,6.25758127977,6.27313876222,0.0,0.0186992955689,-0.0299958682291,3.28198881225,-0.115430846943,-0.0597042799967,0.0,454.5124494166679,454.6945745956934,455.7350615809124,455.45942396334345
